# ПРИБЛИЖЁННЫЙ РЕЗЕРВНЫЙ ДАТАСЕТ годовых номинальных доходностей в USD.
# Используется forecast.py, ТОЛЬКО если в data/ нет скачанных месячных серий.
# Точные и актуальные данные подтягивает tools/fetch_data.py (Stooq / yfinance).
# Значения — доли (0.10 = +10%). Пустая ячейка = нет данных за этот год.
# Источники (публичные, общеизвестные сводки):
#   sp500_total_return       — S&P 500 Total Return (с реинвестированием дивидендов).
#   msci_world_total_return  — MSCI World Net Total Return (USD, net dividends).
#   nasdaq100_total_return   — Nasdaq-100 Total Return (NDX TR), с 1986 (индекс с 1985).
#   world_ex_us_total_return — MSCI World ex USA / EAFE Net TR (USD, net div.), с 1970.
#   em_total_return          — MSCI Emerging Markets Net TR (USD, net div.), с 1988.
#   small_value_total_return — Russell 2000 Value Total Return (USD, прокси малых
#                              недооценённых компаний), с 1979 (год создания индекса).
#                              Сам фонд AVWS запущен только в 2024, поэтому берём
#                              длинную историю индекса-прокси.
# ВНИМАНИЕ: значения ПРИБЛИЖЁННЫЕ — округлены и приведены из общедоступных
# годовых сводок; возможны небольшие расхождения с первоисточниками (индексы
# MSCI ex-US аппроксимированы серией EAFE). Для точного анализа — fetch_data.py.
year,sp500_total_return,msci_world_total_return,nasdaq100_total_return,world_ex_us_total_return,em_total_return,small_value_total_return
1970,0.0401,-0.0151,,-0.1050,,
1971,0.1431,0.1890,,0.2960,,
1972,0.1898,0.2280,,0.3630,,
1973,-0.1466,-0.1497,,-0.1420,,
1974,-0.2647,-0.2516,,-0.2210,,
1975,0.3720,0.3283,,0.3640,,
1976,0.2384,0.1385,,0.0370,,
1977,-0.0718,0.0489,,0.1940,,
1978,0.0656,0.1804,,0.3430,,
1979,0.1844,0.1052,,0.0620,,0.3490
1980,0.3242,0.2565,,0.2440,,0.2500
1981,-0.0491,-0.0333,,-0.0100,,0.1400
1982,0.2155,0.0972,,-0.0090,,0.2860
1983,0.2256,0.2172,,0.2460,,0.3880
1984,0.0627,0.0480,,0.0790,,0.0263
1985,0.3173,0.4085,,0.5670,,0.3100
1986,0.1867,0.4176,0.0690,0.6990,,0.0730
1987,0.0525,0.1636,0.1050,0.2490,,-0.0770
1988,0.1661,0.2346,0.1350,0.2860,0.4040,0.2960
1989,0.3169,0.1671,0.2620,0.1080,0.6500,0.1240
1990,-0.0310,-0.1702,-0.1040,-0.2320,-0.1060,-0.2180
1991,0.3047,0.1826,0.6490,0.1250,0.5990,0.4160
1992,0.0762,-0.0523,0.0890,-0.1180,0.1140,0.2930
1993,0.1008,0.2268,0.1060,0.3290,0.7480,0.2350
1994,0.0132,0.0517,0.0150,0.0810,-0.0730,-0.0155
1995,0.3758,0.2072,0.4250,0.1160,-0.0520,0.2560
1996,0.2296,0.1348,0.4250,0.0640,0.0600,0.2140
1997,0.3336,0.1577,0.2060,0.0210,-0.1160,0.3180
1998,0.2858,0.2434,0.8530,0.2040,-0.2530,-0.0645
1999,0.2104,0.2496,1.0190,0.2730,0.6640,-0.0149
2000,-0.0910,-0.1318,-0.3680,-0.1400,-0.3060,0.2283
2001,-0.1189,-0.1696,-0.3270,-0.2120,-0.0240,0.1402
2002,-0.2210,-0.1980,-0.3760,-0.1570,-0.0600,-0.1143
2003,0.2868,0.3311,0.4950,0.3920,0.5630,0.4603
2004,0.1088,0.1472,0.1050,0.2070,0.2590,0.2225
2005,0.0491,0.0949,0.0150,0.1400,0.3450,0.0471
2006,0.1579,0.2007,0.0730,0.2690,0.3260,0.2348
2007,0.0549,0.0909,0.1920,0.1160,0.3980,-0.0978
2008,-0.3700,-0.4071,-0.4110,-0.4310,-0.5320,-0.2892
2009,0.2646,0.2999,0.5470,0.3250,0.7900,0.2057
2010,0.1506,0.1176,0.2010,0.0820,0.1920,0.2450
2011,0.0211,-0.0554,0.0370,-0.1170,-0.1840,-0.0550
2012,0.1600,0.1580,0.1840,0.1790,0.1820,0.1805
2013,0.3239,0.2650,0.3690,0.2330,-0.0260,0.3452
2014,0.1369,0.0497,0.1940,-0.0450,-0.0220,0.0422
2015,0.0138,-0.0087,0.0980,-0.0040,-0.1490,-0.0747
2016,0.1196,0.0766,0.0730,0.0150,0.1120,0.3174
2017,0.2183,0.2240,0.3300,0.2560,0.3730,0.0773
2018,-0.0438,-0.0871,-0.0010,-0.1340,-0.1460,-0.1286
2019,0.3149,0.2760,0.3900,0.2270,0.1840,0.2239
2020,0.1840,0.1580,0.4890,0.0830,0.1830,0.0463
2021,0.2871,0.2182,0.2750,0.1180,-0.0250,0.2827
2022,-0.1811,-0.1804,-0.3240,-0.1400,-0.2010,-0.1448
2023,0.2629,0.2379,0.5510,0.1890,0.0980,0.1465
2024,0.2502,0.1867,0.2590,0.0430,0.0750,0.0814
2025,0.1500,0.1450,0.1800,0.1500,0.1500,0.1200
